feature,iv
EXT_SOURCE_3,0.305354318505344
EXT_SOURCE_2,0.28204054599775213
BUREAU_DAYS_CREDIT_MEAN,0.11517894246097968
EMPLOYMENT_YEARS,0.10802982757995742
AGE,0.0838376129812397
LTV_PROXY,0.06768087472942091
PREV_IS_REFUSED_MEAN,0.06055734923851612
INSTAL_IS_LATE_MEAN,0.056337736069738485
BUREAU_IS_ACTIVE_SUM,0.04948629830196062
ANNUITY_TO_CREDIT,0.0438922611469367
POS_COUNT,0.024406554258267054
PREV_CNT_PAYMENT_MAX,0.020111647832127093
BUREAU_AMT_CREDIT_SUM_MEAN,0.019088922369913018
INST_TO_INCOME,0.005150836534760572
