score_decile,observations,defaults,bad_rate,avg_score,avg_pd
"(649.847, 829.293]",9226,484,0.05246043789291134,689.0389075785799,0.05833544978542245
"(607.529, 649.847]",9225,614,0.06655826558265583,626.6967755383826,0.06781442054051236
"(576.85, 607.529]",9225,667,0.07230352303523035,592.3333112183308,0.07758084247165985
"(547.172, 576.85]",9226,634,0.06871883806633428,561.1460133134702,0.07019322139762393
"(522.769, 547.172]",9225,766,0.08303523035230352,535.1887899647405,0.08618956225454061
"(492.024, 522.769]",9225,660,0.07154471544715447,507.4823408034885,0.07266923356939574
"(464.793, 492.024]",9226,830,0.08996314762627357,478.61519181288435,0.09180288281531074
"(424.816, 464.793]",9225,771,0.08357723577235772,445.33495722230737,0.07930215166721089
"(372.46, 424.816]",9225,927,0.10048780487804879,403.06440997644376,0.09489656500867646
"(49.74, 372.46]",9226,1095,0.11868632126598742,319.45307802102514,0.1057351884814113
